id;question;optiona;optionb;typeid
1;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Lebih memilih berkomunikasi dengan menulis;Menemukan dan mengembangkan ide dengan mendiskusikannya;1
2;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Menemukan dan mengembangkan ide dengan merenungkannya;Lebih berkomunikasi dengan bicara;1
3;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Beriorientasi pada dunia interal (memori, pemikiran, ide);Berorientasi pada dunia eksternal (kegiatan, orang);1
4;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Berhati-hati,penuh pertimbangan,kaku;Spontan,easy going,fleksibel;1
5;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Lebih memilih tempat yang tenang dan pribadi untuk berkonsentrasi;Lebih memilih tempat yang ramai dan banyak interaksi / aktifitas;1
6;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Fokus pada sedikit hobi namun mendalam;Fokus pada banyak hobi secara luas dan umum;1
7;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Tertutup dan mandiri;Sosial dan ckspresif;1
8;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Pertemuan dengan orang lain dan aktivitas sosial melelahkan;Bertemu orang dan aktivitas sosialmembuat bersemangat;1
9;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Beraktifitas sendirian dirumah menyenangkan;Beraktifitas sendirian dirumah membosankan;1
10;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Berinisiatif bila situasi memaksa atau berhuhungan dengan kepentingan sendiri;Lebih memilih tempat yang tenang dan pribadi untuk berkonsentrasi;1
11;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Berpikir secara matang sebelum bertindak;Berani bertindak tanpa terlalu lama berfikir;1
12;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Menyimpan semangat dalam hati;Mengekspresikan semangat;1
13;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Mencari kesempatan untuk berkomunikasi secara perorangan;Memilih berkomunikasi pada sekelompok orang;1
14;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Lebih suka berkomunikasi tidak langsung (telp, surat, e-mail);Lebih suka berkomunikasi langsung (tatap muka);1
15;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Membangun ide dengan matang baru membicarakannya;Membangun ide pada saat berbicara;1
16;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Bergerak dari detail ke gambaran umum sebagai kesimpulan;Bergerak dari gambaran umum baru ke detail;2
17;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Berbicara mengenai masalah yang dihadapi hari ini dan langkah-langkah praktis untuk mengatasinya;Lebih Berbicara mengenai visi misi masa depan dan konsep-konsep mengenai visi tersebut;2
18;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Menggunakan pengalaman sebagai pedoman;Menggunakan imajinasi dan perenungan sebgai pedoman;2
19;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;SOP sangat membantu;SOP sangat membosankan;2
20;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Prosedural dan tradisional;Bebas dan dinamis;2
21;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;PertemuanMemilih fakta lebih penting daripada ide inspirasif;Memilih ide inspirasif lebih penting daripada fakta;2
22;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Kontinuitas dan stabilitas lebih diutamakan;Perubahan dan variasi lebih diutamankan;2
23;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Bertindak step by step dengan timeframe yang jelas;Bertindak dengan semangat tanpa menggunakan timeframe;2
24;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Menarik kesimpulan dengan lama dan hati-hati;Menarik kesimpulan dengan cepat sesuai naluri;2
25;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Mengkarifikasi ide dan teori sebelum dipraktekan;Memahami ide dan teori saat mempraktekannya;2
26;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Berfokus pada masa kini(apa yang bisa diperbaiki sekarang);Berfokus pada masa depan(apa yang mungkin dicapai dimasa depan);2
27;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Secara konsisten mengamati dan mengingat detail;Mengamati dan mengingat detail hanya bila berhubungan dengan pola;2
28;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Praktis;Konseptual;2
29;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Menggunakan ketrampilan yang sudah ada;Menyukai tantangan untuk menguasai keterampilan baru;2
30;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Memilih cara yang sudah ada dan terbukti;memilih cara yang unik dan belum dipraktekan orang lain;2
31;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Objektif;Subjektif;3
32;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Diyakinkan dengan penjelasan yang masuk akal;Diyakinkan dengan penjelasan yang menyentuh perasan;3
33;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Berorientasi tugas dan job description;Berorientasi pada manusia dan hubungan;3
34;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Mementingkan sebab-akibat;Mementingkan nilai-nilai personal;3
35;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Mengambil keputusna berdasarkan logika dan aturan main;Mengambil keputusan berdasarkan perasaan pribadi dan kondisi orang lain;3
36;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Mengemukakan tujuan dan sasaran lebih dahulu;Mengemukanan kesepakatan terlebih dahulu;3
37;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Menganalisa;Berempati;3
38;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Menghargai seseorang karena skill dan faktor sejenis;Menghargai seseorang karena sifat dan perilakunya;3
39;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Melibatkan perasaan itu tidak profesional;Terlalu kaku pada peraturan dan pekerjaan itu kejam;3
40;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Yang penting tujuan tercapai;Yang penting situasi harmonis terjaga;3
41;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Mempertanyakan;Mengakomodasi;3
42;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Sering dianggap keras kepala;Sering dianggap terlalu memihak;3
43;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Bersemangat saat mengkritik dan menemukan kesalahan;Bersemangat saat menolong orang lain;3
44;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Standar Harus ditegakan diatas segalanya(itu menunjukan kehormatan dan harga diri);Perasaan manusia lebih penting dari sekedar standar(yang adalah benda mati);3
45;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Menurut perlakuan yang adil dan sama pada semua orang;Menurut perlakuan khusus sesuai karakteristik masing-masing orang;3
46;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Perubahan mendadak tidak jadi masalah;Tidak menyukai hal-hal yang bersifat mendadak dan diluar perencanaan;4
47;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Spontan,fleksibel,tidak diikat waktu;Terencana dan memiliki deadline;4
48;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Aturan,jadwal dan target sangat mengikat dan membebani;Aturan,jadwal dan target akan sangat membantu dan memperjelas tindakan;4
49;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Berorientasi pada proses;Berorientasi pada hasil;4
50;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Membiarkan orang lain bertindak bebas asalkan tujuan tercapai;Mengatur orang lain dengan tata tertib agar tujuan tercapai;4
51;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Memperhatikan hal-hal baru dan siap menyesuaikan diri serta mengubah target;Fokus pada target dan mengabaikan hal-hal baru;4
52;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Pendirian masih bisa berubah tergantung situasi nantinya;Berpegang teguh pada pendirian;4
53;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Merasa nyaman bila situasi tetap terbuka terhadap pilihan-pilihan lain;Merasa tenang bila semua sudah diputuskan;4
54;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Ketidakpastian itu seru, menegangkan dan membuat lebih senang;Ketidakpastian membuat bingung dan meresahkan;4
55;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Situasi menit terakhit membuat bersemangat dan memunculkan potensi;Situasi menit terakhir sangat menyiksa, membuat stress dan merupakan kesalahan;4
56;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Perubahan adalah semangat hidup;Perubahan adalah musuh;4
57;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Hidup seharusnya mengalir sesuai kondisi;Hidup harus sudah diatur dari awal;4
58;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Daftar dan checklist adalah tugas dan beban;Daftar dan checklist adalah panduan penting;4
59;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Puas ketika mampu beradaptasi dengan momentum yang terjadi;Puas ketika mampu manjalankan semua sesuai rencana;4
60;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Bertindak sesuai situasi dan kondisi;Bertindak sesuai apa yang sudah direncanakan;4
61;Saya suka bekerja di mobil;ya;tidak;5
62;Saya suka membangun sesuatu;ya;tidak;5
63;Saya suka memelihara hewan;ya;tidak;5
64;Saya suka menyatukan sesuatu atau merakit sesuatu;ya;tidak;5
65;Saya suka memasak;ya;tidak;5
66;Saya orang yang praktis;ya;tidak;5
67;Saya suka bekerja di luar ruangan;ya;tidak;5
68;Saya suka melakukan teka-teki;ya;tidak;6
69;Saya suka melakukan eksperimen;ya;tidak;6
70;Saya menikmati sains;ya;tidak;6
71;Saya senang mencoba mencari tahu bagaimana segala sesuatunya bekerja;ya;tidak;6
72;Saya suka menganalisis sesuatu (masalah/situasi);ya;tidak;6
73;Saya suka bekerja dengan angka atau grafik;ya;tidak;6
74;Saya pandai matematika;ya;tidak;6
75;Saya pandai bekerja secara mandiri;ya;tidak;7
76;Saya suka membaca tentang seni dan musik;ya;tidak;7
77;Saya senang menulis kreatif;ya;tidak;7
78;Saya adalah orang yang kreatif;ya;tidak;7
79;Saya suka bermain alat musik atau bernyanyi;ya;tidak;7
80;Saya suka berakting dalam drama;ya;tidak;7
81;Saya suka menggambar;ya;tidak;7
82;Saya suka bekerja dalam tim;ya;tidak;8
83;Saya suka mengajar atau melatih orang;ya;tidak;8
84;Saya suka mencoba membantu orang memecahkan masalah mereka;ya;tidak;8
85;Saya tertarik untuk menyembuhkan orang(Support healing);ya;tidak;8
86;Saya senang belajar tentang budaya lain;ya;tidak;8
87;Saya suka berdiskusi tentang masalah;ya;tidak;8
88;saya suka menolong orang;ya;tidak;8
89;Saya adalah orang yang ambisius, saya menetapkan tujuan untuk diri saya sendiri;ya;tidak;9
90;Saya suka mencoba mempengaruhi atau membujuk orang;ya;tidak;9
91;Saya suka menjual barang;ya;tidak;9
92;Saya cepat mengambil tanggung jawab baru;ya;tidak;9
93;Saya ingin memulai bisnis saya sendiri;ya;tidak;9
94;Saya suka memimpin;ya;tidak;9
95;Saya suka memberikan pidato/motifasi;ya;tidak;9
96;Saya suka mengatur sesuatu, (file, meja/kantor);ya;tidak;10
97;Saya suka memiliki instruksi yang jelas untuk diikuti;ya;tidak;10
98;Saya tidak keberatan bekerja 8 jam per hari di kantor;ya;tidak;10
99;Saya memperhatikan detail;ya;tidak;10
100;Saya suka melakukan pengarsipan atau mengetik;ya;tidak;10
101;Saya pandai menyimpan catatan pekerjaan saya;ya;tidak;10
102;Saya ingin bekerja di kantor;ya;tidak;10
